epoch (ms),time (10:00),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1592533090200,2020-06-19T12.18.10.200,10.642,-0.000133938,-0.000181313,-0.000283563
1592533090241,2020-06-19T12.18.10.241,10.683,-0.000133563,-0.000176938,-0.000284000
1592533090282,2020-06-19T12.18.10.282,10.724,-0.000135375,-0.000179500,-0.000283563
1592533090322,2020-06-19T12.18.10.322,10.764,-0.000132125,-0.000181313,-0.000280563
1592533090363,2020-06-19T12.18.10.363,10.805,-0.000136875,-0.000186375,-0.000277500
1592533090403,2020-06-19T12.18.10.403,10.845,-0.000143375,-0.000193625,-0.000268688
1592533090444,2020-06-19T12.18.10.444,10.886,-0.000148438,-0.000191063,-0.000272938
1592533090483,2020-06-19T12.18.10.483,10.925,-0.000148813,-0.000187813,-0.000277938
1592533090524,2020-06-19T12.18.10.524,10.966,-0.000149875,-0.000187438,-0.000277938
1592533090564,2020-06-19T12.18.10.564,11.006,-0.000150938,-0.000185625,-0.000280563
1592533090605,2020-06-19T12.18.10.605,11.047,-0.000149125,-0.000184188,-0.000284375
1592533090644,2020-06-19T12.18.10.644,11.086,-0.000148813,-0.000181313,-0.000287875
1592533090685,2020-06-19T12.18.10.685,11.127,-0.000144813,-0.000180250,-0.000288188
1592533090725,2020-06-19T12.18.10.725,11.167,-0.000139000,-0.000176625,-0.000287438
1592533090766,2020-06-19T12.18.10.766,11.208,-0.000136500,-0.000176250,-0.000284000
1592533090805,2020-06-19T12.18.10.805,11.247,-0.000133250,-0.000180250,-0.000277125
1592533090846,2020-06-19T12.18.10.846,11.288,-0.000134313,-0.000184188,-0.000269500
1592533090886,2020-06-19T12.18.10.886,11.328,-0.000138688,-0.000185625,-0.000273688
1592533090927,2020-06-19T12.18.10.927,11.369,-0.000144813,-0.000182750,-0.000279750
1592533090967,2020-06-19T12.18.10.967,11.409,-0.000151688,-0.000188188,-0.000281375
1592533091008,2020-06-19T12.18.11.008,11.450,-0.000153875,-0.000184938,-0.000281688
1592533091047,2020-06-19T12.18.11.047,11.489,-0.000159625,-0.000183500,-0.000279750
1592533091088,2020-06-19T12.18.11.088,11.530,-0.000161125,-0.000187125,-0.000272938
1592533091129,2020-06-19T12.18.11.129,11.571,-0.000159625,-0.000191063,-0.000274875
1592533091169,2020-06-19T12.18.11.169,11.611,-0.000154938,-0.000188563,-0.000279438
1592533091210,2020-06-19T12.18.11.210,11.652,-0.000148438,-0.000187125,-0.000277188
1592533091249,2020-06-19T12.18.11.249,11.691,-0.000145188,-0.000190000,-0.000267938
1592533091290,2020-06-19T12.18.11.290,11.732,-0.000144813,-0.000186750,-0.000276375
1592533091330,2020-06-19T12.18.11.330,11.772,-0.000143750,-0.000187125,-0.000278250
1592533091371,2020-06-19T12.18.11.371,11.813,-0.000141563,-0.000195063,-0.000277875
1592533091410,2020-06-19T12.18.11.410,11.852,-0.000139750,-0.000181688,-0.000282125
1592533091451,2020-06-19T12.18.11.451,11.893,-0.000138313,-0.000184188,-0.000279750
1592533091491,2020-06-19T12.18.11.491,11.933,-0.000139000,-0.000184188,-0.000277250
1592533091532,2020-06-19T12.18.11.532,11.974,-0.000140125,-0.000182750,-0.000276813
